2024-11-04 16:03:56,678 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Configure stats pid to 7272
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Loading settings from /Users/anumafzal/.config/wandb/settings
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Loading settings from /Users/anumafzal/PycharmProjects/ToTpred/wandb/settings
2024-11-04 16:03:56,679 WARNING MainThread:7272 [wandb_setup.py:_flush():79] Unknown environment variable: WANDB_TOKEN
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/anumafzal/PycharmProjects/ToTpred/main.py', 'program': '/Users/anumafzal/PycharmProjects/ToTpred/main.py'}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Applying login settings: {'anonymous': 'allow', 'api_key': '***REDACTED***'}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:_log_setup():532] Logging user logs to /Users/anumafzal/PycharmProjects/ToTpred/wandb/run-20241104_160356-8wa7ludw/logs/debug.log
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/anumafzal/PycharmProjects/ToTpred/wandb/run-20241104_160356-8wa7ludw/logs/debug-internal.log
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:init():617] calling init triggers
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'dataset': 'openai/gsm8k', 'samples': 10, 'max_new_tokens': 256, 'togetherai': True, 'batch_size': 1, 'model_hf_key': 'meta-llama/Meta-Llama-3.1-8B-Instruct', 'exec_kwargs': {}, 'load_in_8bit': False, 'load_in_4bit': True, 'device_map': 'auto', 'read_from_file': True, 'filename': 'runs/openai-gsm8k/2024-11-04_15-51-03/openai-gsm8k_balanced_8.xlsx', 'regression_features_saved': True, 'regression_features_path': 'runs/openai-gsm8k/2024-11-04_15-51-03/regression_features.txt', 'regression_labels_path': 'runs/openai-gsm8k/2024-11-04_15-51-03/regression_labels.txt', 'verbose': False, 'class_imbalance': True, 'fix_class_imbalance': True, 'hidden_layer': -1, 'regression_model': 'feed forward', 'epochs': 25}
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:init():667] starting backend
2024-11-04 16:03:56,679 INFO    MainThread:7272 [wandb_init.py:init():671] sending inform_init request
2024-11-04 16:03:56,681 INFO    MainThread:7272 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-04 16:03:56,681 INFO    MainThread:7272 [wandb_init.py:init():684] backend started and connected
2024-11-04 16:03:56,685 INFO    MainThread:7272 [wandb_init.py:init():779] updated telemetry
2024-11-04 16:03:56,712 INFO    MainThread:7272 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-11-04 16:03:56,995 INFO    MainThread:7272 [wandb_init.py:init():863] starting run threads in backend
2024-11-04 16:03:57,083 INFO    MainThread:7272 [wandb_run.py:_console_start():2465] atexit reg
2024-11-04 16:03:57,083 INFO    MainThread:7272 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-11-04 16:03:57,083 INFO    MainThread:7272 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-11-04 16:03:57,083 INFO    MainThread:7272 [wandb_run.py:_redirect():2403] Redirects installed.
2024-11-04 16:03:57,085 INFO    MainThread:7272 [wandb_init.py:init():907] run started, returning control to user process
2024-11-04 16:03:58,353 INFO    MainThread:7272 [wandb_run.py:_config_callback():1394] config_cb ('_wandb', 'visualize', 'Training Accuracy per epoch') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'epoch', 'y': 'acc', 'stroke': None}, 'stringSettings': {'title': 'Training Accuracy per epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Training Accuracy per epoch_table'}], 'fields': []}]}]}}} None
2024-11-04 16:03:58,875 INFO    MainThread:7272 [wandb_run.py:_config_callback():1394] config_cb ('_wandb', 'visualize', 'Training Loss epoch') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'epoch', 'y': 'loss', 'stroke': None}, 'stringSettings': {'title': 'Training Loss epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Training Loss epoch_table'}], 'fields': []}]}]}}} None
2024-11-04 16:03:59,081 INFO    MainThread:7272 [wandb_run.py:_config_callback():1394] config_cb ('_wandb', 'visualize', 'Validation Accuracy per epoch') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/line/v0', 'fieldSettings': {'x': 'epoch', 'y': 'val_acc', 'stroke': None}, 'stringSettings': {'title': 'Validation Accuracy per epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Validation Accuracy per epoch_table'}], 'fields': []}]}]}}} None
